billing_date,service_name,region,resource_id / resource-name,usage_type,cost,usage_quantity,instance_type,volume-type,autoscaling-count,storage_type,tag-project / tag-name,tag_environment,data_transfer_gb,is_anomaly,department,environment,project_name,month
2/21/2026,AmazonEC2,ap-southeast-1,i-32d1026706d7e805d,DataTransfer-Out-Bytes,7.5,74.971,,,0,,finops-lite,test,74.971,0,HR,dev,CloudMigration,2
2/11/2026,AmazonS3,us-east-1,budgetguard-dev-bucket-3bb81e,DataTransfer-Out-Bytes,3.13,31.283,,,0,,budgetguard,dev,31.283,0,Operations,dev,AIResearch,2
2/18/2026,AmazonEC2,ap-northeast-1,i-b62179273c8eb5bb6,DataTransfer-Out-Bytes,1.17,11.711,,,0,,carci,staging,11.711,0,Marketing,dev,MobileApp,2
2/22/2026,AmazonS3,ap-northeast-1,carci-prod-bucket-75ec87,S3:Storage.Glacier,355.5,3554.959,,,0,Glacier,carci,prod,0,0,Operations,test,MobileApp,2
2/22/2026,AmazonS3,ap-southeast-1,carci-test-bucket-c826a6,S3:Storage.Standard-IA,15.19,151.893,,,0,Standard-IA,carci,test,0,0,Operations,dev,MobileApp,2
2/21/2026,AWSLambda,ap-northeast-1,lambda:costwatch-dev-fn-78dc,Lambda:Requests,374975,3749750,,,0,,costwatch,dev,0,1,Finance,prod,WebApp,2
2/12/2026,AmazonS3,ap-northeast-1,startup-x-staging-bucket-45d2cc,S3:Storage.Standard,155.6,1555.999,,,0,Standard,startup-x,staging,0,0,Marketing,prod,AIResearch,2
2/20/2026,AWSKeyManagementService,eu-west-1,key/38a39d5e0853964b50af03b971722f24,KMS:Requests,1456216.6,14562166,,,0,,startup-x,prod,0,0,Marketing,dev,MobileApp,2
2/5/2026,AmazonVPC,ap-northeast-1,nat-d669cbee,DataTransfer-Out-Bytes,12.24,122.409,,,0,,finops-lite,test,122.409,0,Marketing,prod,WebApp,2
2/4/2026,AmazonS3,us-east-1,carci-staging-bucket-702172,S3:Storage.Glacier,186.35,1863.491,,,0,Glacier,carci,staging,0,0,Operations,dev,DataLake,2
2/2/2026,AmazonECR,us-east-1,ecr/finops-lite-test-repo-64f7,DataTransfer-Out-Bytes,9.13,91.268,,,0,,finops-lite,test,91.268,0,HR,dev,DataLake,2
2/26/2026,AWSLambda,eu-west-1,lambda:carci-dev-fn-bdde,Lambda:GB-Second,102895.46,1028954.642,,,0,,carci,dev,0,0,Marketing,prod,WebApp,2
2/28/2026,ElasticLoadBalancing,ap-south-1,app/carci-dev-alb/3766e4d58e,DataTransfer-Out-Bytes,11.85,118.524,,,0,,carci,dev,118.524,0,Operations,dev,WebApp,2
2/8/2026,AmazonCloudFront,us-east-1,cf/275dff6c15c0,DataTransfer-Out-Bytes,3.42,34.188,,,0,,startup-x,dev,34.188,0,Finance,prod,AIResearch,2
2/13/2026,AmazonS3,ap-southeast-1,costwatch-test-bucket-469611,DataTransfer-Out-Bytes,1.31,13.104,,,0,,costwatch,test,13.104,0,HR,test,AIResearch,2
2/24/2026,AmazonS3,us-east-1,costwatch-staging-bucket-25227c,S3:Storage.Standard,53.35,533.477,,,0,Standard,costwatch,staging,0,0,Finance,dev,DataLake,2
2/4/2026,AmazonRoute53,ap-south-1,hostedzone/da86a78c49ea2,Route53:HostedZone,0.1,1,,,0,,startup-x,staging,0,0,HR,test,MobileApp,2
